Nummer;Behandlingsaktivitet;KLE Hovedgruppe;KLE Gruppe;KLE niveau 3
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.20. Kontaktforløb m.v.
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.22. Opkvalificering ved afskedigelse
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.25. Betaling for visse uddannelsesaktiviteter
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.30. Jobrettet uddannelse
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.34. Hjælpemidler - tillægsydelser
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.38. Befordringsgodtgørelse - tillægsydelser
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.40. Merudgiftsgodtgørelse
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.00. Formidlingsindsats i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.01. Bistand til job- og uddannelsessøgende og arbejdsgivere
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.03. Bistand til særlige aktiviteter
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.20. Varsling af større afskedigelser
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 23. Information og vejledning i jobcenteret;15.23.00. Information og vejledning i jobcenteret i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 23. Information og vejledning i jobcenteret;15.23.05. Virksomhedsservice
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 23. Information og vejledning i jobcenteret;15.23.07. Tilmelding og Jobnet
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 25. Orlovsordninger (ikke-kommunalt ansatte);15.25.00. Orlovsordninger (ikke-kommunalt ansatte) i almindelighed
01;Behandling af personoplysninger i forbindelse med ydelser vedr.  jobafklaring, jobsøgning og uddannelsesforløb for ledige;15. Arbejdsmarked og beskæftigelsesindsats;15. 27. Servicejob;15.27.00. Servicejob i almindelighed
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.00. Opfølgning, vurdering og revalidering i almindelighed
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.06. Sygedagpengeopfølgning
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.09. Forrevalidering
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.12. Revalidering
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.18. Rehabilitering
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.22. Ressourceforløb
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.26. Jobafklaringsforløb
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 17. Opfølgning, vurdering og revalidering;15.17.30. Helhedsorienteret plan - beskæftigelsesindsats mv.
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 18. Tilbud efter LAB kap. 11-14;15.18.00. Tilbud efter LAB kap. 11-14 i almindelighed
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 18. Tilbud efter LAB kap. 11-14;15.18.05. Virksomhedspraktik
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 18. Tilbud efter LAB kap. 11-14;15.18.10. Ansættelse med løntilskud
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 18. Tilbud efter LAB kap. 11-14;15.18.15. Nytteindsats
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 18. Tilbud efter LAB kap. 11-14;15.18.20. Vejledning og opkvalificering
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.24. Fleksjob
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.36. Mentorstøtte
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.05. Jobrotation
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;15. Arbejdsmarked og beskæftigelsesindsats;15. 21. Formidlingsindsats;15.21.30. Voksenlærlinge - løntilskud
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.08. Revalideringsydelse
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.12. Ledighedsydelse
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.28. Ressourceforløbsydelse, ressourceforløb
02;Behandling af personoplysninger i forbindelse med fleksjob, løntillæg, jobrotation, virksomhedspraktik, mentorordning og voksenlærling, ressourceforløb og revalidering;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.30. Ressourceforløbsydelse, jobafklaringsforløb
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;15. Arbejdsmarked og beskæftigelsesindsats;15. 01. Arbejdsløshedsforsikring;15.01.00. Arbejdsløshedsforsikring i almindelighed
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;15. Arbejdsmarked og beskæftigelsesindsats;15. 01. Arbejdsløshedsforsikring;15.01.03. Efterløn og feriedagpenge
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;15. Arbejdsmarked og beskæftigelsesindsats;15. 01. Arbejdsløshedsforsikring;15.01.12. Arbejdsfordeling, supplerende dagpenge
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;15. Arbejdsmarked og beskæftigelsesindsats;15. 28. Seniorjob;15.28.00. Seniorjob i almindelighed
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.00. Dagpenge ved sygdom og barsel i almindelighed
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.04. Udbetaling af sygedagpenge
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.05. Sygedagpengeregres
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.06. Aftale om arbejdsgiveres ret til refusion af sygedagpenge ved langvarig eller kronisk sygdom
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.07. Aftale om ret til sygedagpenge for selvstændige erhvervsdrivende ved langvarig eller kronisk sygdom
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.08. Dagpenge ved barsel
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.10. Ferieydelse optjent under barsel
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.12. Dagpenge ved alvorligt syge børn
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.16. Sorgorlov
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.30. Sygedagpengeforsikring for selvstændig erhvervsdrivende
03;Behandling af personoplysninger i forbindelse med dagpenge, efterløn/feriedagpenge, seniorjob og sygedagpengeforsikring;32. Kontante ydelser;32. 30. Dagpenge ved sygdom og barsel;32.30.34. Sygedagpengeforsikring for private arbejdsgivere
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;15. Arbejdsmarked og beskæftigelsesindsats;15. 20. Beskæftigelsesindsats;15.20.51. 225-timersregel
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.00. Ydelser efter lov om aktiv socialpolitik mv. i almindelighed
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.03. Kontanthjælpsloft
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.04. Hjælp til forsørgelse (kontanthjælp mv.)
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.05. Fradrag i kontanthjælp
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.06. Nedsættelse af kontanthjælp
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.07. Ophør af kontanthjælp
04;Behandling af personoplysninger i forbindelse med udbetaling af kontanthjælp og 225-timers regel;32. Kontante ydelser;32. 24. Ydelser efter lov om aktiv socialpolitik mv.;32.24.10. Kontanthjælp under forrevalidering
05;Behandling af personoplysninger i forbindelse med støtte til personer med handicap i erhverv;15. Arbejdsmarked og beskæftigelsesindsats;15. 22. Kompensation til handicappede i erhverv mv.;15.22.00. Kompensation til handicappede i erhverv mv. i almindelighed
05;Behandling af personoplysninger i forbindelse med støtte til personer med handicap i erhverv;15. Arbejdsmarked og beskæftigelsesindsats;15. 22. Kompensation til handicappede i erhverv mv.;15.22.03. Fortrinsadgang
05;Behandling af personoplysninger i forbindelse med støtte til personer med handicap i erhverv;15. Arbejdsmarked og beskæftigelsesindsats;15. 22. Kompensation til handicappede i erhverv mv.;15.22.06. Personlig assistance til handicappede i erhverv
05;Behandling af personoplysninger i forbindelse med støtte til personer med handicap i erhverv;15. Arbejdsmarked og beskæftigelsesindsats;15. 22. Kompensation til handicappede i erhverv mv.;15.22.09. Personlig assistance til handicappede under efter- og videreuddannelse
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.00. Sygesikring i almindelighed
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.04. Udstedelse af sundhedskort
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.06. Udstedelse af EU-sygesikringskort
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.08. Udstedelse af særligt sundhedskort
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.12. Valg af læge og indplacering i sikringsgruppe
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.14. Refusion af lægeregninger
06;Behandling af personoplysninger i forbindelse med sygesikring;29. Sundhed;29. 03. Sygesikring;29.03.16. Lovvalg vedrørende sygesikring
07;Behandling af personoplysninger i forbindelse med indfødsret;23. Borgerlige forhold;23. 02. Indfødsret;23.02.00. Indfødsret i almindelighed
07;Behandling af personoplysninger i forbindelse med indfødsret;23. Borgerlige forhold;23. 02. Indfødsret;23.02.10. Grundlovsceremonier
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 00. Offentlige valg;84.00.00. Offentlige valg i almindelighed
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 00. Offentlige valg;84.00.10. Partistøtte
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 01. Folketingsvalg;84.01.00. Folketingsvalg i almindelighed
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 02. Regionsvalg;84.02.00. Regionsvalg i almindelighed
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.00. Kommunale valg i almindelighed
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.01. Valgret og valgbarhed
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.02. Valglister og valgkort
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.03. Valgbestyrelser, valgstyrere og tilforordnede vælgere
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.04. Kandidatlister
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.05. Stemmesedler
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.06. Afstemning på valgdagen
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.07. Brevstemmeafgivning
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.08. Opgørelse af afstemningen
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.09. Opgørelse af valget
08;Behandling af personoplysninger i forbindelse med offentlige valg;84. Offentlige valg;84. 03. Kommunale valg;84.03.10. Valgklage/fritagelse for valg
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 04. Valg til særlige organer;84.04.00. Valg til særlige organer i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 05. Menighedsrådsvalg;84.05.00. Menighedsrådsvalg i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 05. Menighedsrådsvalg;84.05.01. Valglister/valgkort til menighedsrådsvalg
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 05. Menighedsrådsvalg;84.05.02. Brevafstemning ved menighedsrådsvalg
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 05. Menighedsrådsvalg;84.05.03. Stemmeafgivning på institutioner og i hjemmet
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 06. Folkeafstemninger;84.06.00. Folkeafstemninger i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 07. Valg til Europa-Parlamentet;84.07.00. Valg til Europa-Parlamentet i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 10. Valg til skolebestyrelser og ungdomsskolebestyrelser;84.10.00. Valg til skolebestyrelser og ungdomsskolebestyrelser i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 11. Valg til forældrebestyrelser;84.11.00. Valg til forældrebestyrelser i almindelighed
09;Behandling af personoplysninger i forbindelse med valg til råd, nævn, bestyrelser og øvrige organer.;84. Offentlige valg;84. 12. Valg til ældreråd;84.12.00. Valg til ældreråd i almindelighed
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 04. Navneændring;23.04.00. Navneændring i almindelighed
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.00. Folkeregistrering i almindelighed
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.01. Registrering i CPR
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.02. Adgang til CPR
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.03. Videregivelse af oplysninger fra CPR
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.05. Navne- og adressebeskyttelse
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.08. Validering af registrerede bopælsoplysninger
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.10. Flytteanmeldelse
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.12. Flytninger til/fra udlandet
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;23. Borgerlige forhold;23. 05. Folkeregistrering;23.05.13. Bøder efter CPR lovens § 57
10;Behandling af personoplysninger i forbindelse med navneændring, folkeregistrering, borgerlig personregistrering og udtagelse af nævning og domsmænd;30. Andre myndigheders opgaver;30. 10. Statslige opgaver, udvikling og organisering;30.10.15. Domstole
11;Behandling af personoplysninger i forbindelse med borgerlige forhold generelt, NemKonto, Digital Post samt undtagelse til digital selvbetjening, desuden udstedelse af legitimation til borgere.;23. Borgerlige forhold;23. 00. Borgerlige forhold;23.00.00. Borgerlige forhold i almindelighed
11;Behandling af personoplysninger i forbindelse med borgerlige forhold generelt, NemKonto, Digital Post samt undtagelse til digital selvbetjening, desuden udstedelse af legitimation til borgere.;23. Borgerlige forhold;23. 09. Legitimation til borgere;23.09.00. Legitimation til borgere i almindelighed
11;Behandling af personoplysninger i forbindelse med borgerlige forhold generelt, NemKonto, Digital Post samt undtagelse til digital selvbetjening, desuden udstedelse af legitimation til borgere.;23. Borgerlige forhold;23. 09. Legitimation til borgere;23.09.02. Pas
